CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
46932297,387.5,2.6,2,5
49855001,455.5,3.7,2,8
59293709,396.5,1.0,2,6
59293721,461.9,3.8,2,8
59293755,427.4,2.8,2,8
131842331,442.5,3.9,2,9
71682653,344.5,3.7,1,4
42645530,455.5,3.4,2,8
42645769,467.5,3.4,2,8
42645770,453.5,2.8,2,8
42645771,410.5,1.2,2,6
42646990,421.5,2.4,2,7
57748109,385.5,1.8,2,5
57748115,441.5,3.0,2,8
57748168,419.9,2.8,2,5
72248494,373.5,2.2,2,5
91801269,385.5,1.8,2,5
71682652,401.5,3.0,2,5
71682654,387.5,2.6,2,5
168296652,414.4,3.1,2,8
110253777,427.4,1.5,2,9
42645531,439.5,2.9,2,6
42646989,405.5,2.4,2,6
57748119,439.5,2.4,2,8
57748158,453.5,3.0,2,8
58095736,497.6,3.1,1,9
58095741,468.5,4.0,1,8
58095744,454.5,3.6,1,8
59293658,453.5,3.2,2,8
59293663,423.5,2.3,2,7
59293665,439.5,2.6,2,8
59293682,399.4,1.8,2,8
59293693,425.4,2.2,2,8
59293697,459.5,3.0,2,9
59293704,439.5,2.8,2,8
59293753,425.5,2.7,2,6
59293757,414.4,1.5,3,9
72248466,453.5,3.2,2,8
72248469,423.5,2.3,2,7
72248471,439.5,2.6,2,8
72248482,399.4,1.8,2,8
72248488,425.4,2.2,2,8
72248491,459.5,3.0,2,9
72248497,439.5,2.8,2,8
72248521,414.4,1.5,3,9
74836374,405.5,2.4,2,6
75306311,469.5,4.0,2,8
88530998,398.4,4.7,1,8
88982621,455.5,3.7,2,8
88989324,498.6,3.2,2,9
88989356,485.5,3.0,2,9
88996762,368.4,1.8,2,7
88996871,386.4,2.1,2,8
90059468,455.5,3.6,2,8
90837989,374.5,4.5,1,6
91801034,419.5,2.6,2,6
117834104,442.5,3.2,2,8
117834106,441.5,3.1,2,9
121284523,442.5,3.2,2,8
121313450,445.4,2.4,2,9
122515203,441.5,2.4,2,8
123450972,455.5,4.0,2,10
123792496,498.6,3.2,2,9
123901455,485.5,3.0,2,9
129130542,440.5,4.0,1,8
129252620,435.5,1.4,2,8
130199245,421.5,1.5,2,7
132048253,455.5,3.1,2,9
132263847,398.4,4.2,1,7
135368382,441.5,2.8,2,8
138467724,456.5,2.9,3,9
140317609,469.5,3.2,2,9
142507072,443.5,3.6,3,10
146415013,496.5,1.3,2,10
146415309,496.5,1.3,2,10
146415310,496.5,1.3,2,10
146697208,446.4,2.4,2,9
146918333,455.5,4.0,2,10
146922284,404.5,2.4,1,6
147760650,440.5,3.1,1,8
148842488,485.5,2.4,3,10
149839077,413.5,4.3,2,9
152821081,442.5,3.2,2,8
