CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
60143346,414.4,2.2,0,9
54766013,399.4,3.2,2,6
70984064,421.4,2.8,2,8
71525988,370.4,4.2,1,5
89720345,418.4,1.9,1,9
58266791,422.5,3.9,1,4
68518789,442.5,4.2,0,6
70981821,421.4,2.8,2,8
70982089,403.5,2.7,2,7
70982568,435.5,3.3,2,8
70983036,435.5,3.3,2,8
70983181,435.5,3.3,2,8
71007226,439.4,2.9,2,9
71007294,435.5,3.3,2,8
71007298,435.5,3.3,2,8
71007340,435.5,3.3,2,8
71007349,404.4,2.0,2,8
71253958,388.5,1.7,1,6
90326903,435.5,3.3,2,8
90326906,435.5,3.3,2,8
136213660,464.5,3.1,2,7
77068235,287.32,2.8,1,4
137632523,451.5,2.5,0,8
137652089,469.4,2.6,0,9
10115240,456.5,2.8,2,7
10116123,470.5,3.1,3,7
10151881,470.5,3.1,2,7
10217304,470.5,3.3,1,7
10227907,484.6,3.6,2,7
10288920,484.6,3.3,2,7
22390524,484.6,3.3,2,7
22390530,498.6,4.1,1,7
25143825,388.4,2.9,1,6
25143829,402.5,3.1,1,6
25143969,420.5,3.2,1,7
44186526,439.4,3.6,1,9
54766164,399.4,3.2,2,6
54766165,399.4,3.2,2,6
54766166,417.4,3.3,2,7
54766167,417.4,3.3,2,7
54766168,417.4,3.3,2,7
54767583,442.5,3.3,2,7
54767753,456.5,3.0,2,7
54767754,456.5,3.0,2,7
62705990,401.4,3.8,3,8
62705991,401.4,3.8,3,8
62706471,399.4,2.0,2,9
66548925,418.5,2.6,1,8
66549110,472.6,4.3,2,8
70981556,407.4,2.5,2,8
71007292,435.5,3.3,2,8
71007297,421.4,2.8,2,8
71007300,406.4,4.0,1,7
71007352,422.4,2.5,2,9
71007357,435.5,3.0,2,8
71007358,439.4,2.9,2,9
71451822,370.4,4.1,1,5
71459019,356.4,3.7,1,5
71460808,370.4,4.2,1,5
71462533,399.5,3.0,2,6
74396249,386.4,2.7,1,6
126677289,352.4,3.6,1,5
130363612,451.5,3.4,1,7
132209432,459.5,1.2,1,8
135262208,432.5,1.7,3,8
136213594,422.4,2.6,3,7
136213596,450.5,3.4,2,7
139326715,423.5,4.2,0,5
145968901,454.5,1.8,0,8
155550317,408.5,2.1,1,8
156821415,398.4,2.0,1,8
70982562,435.5,3.3,2,8
70983033,435.5,3.3,2,8
71007273,417.5,3.2,2,7
71007295,435.5,3.3,2,8
71007359,439.4,2.9,2,9
71007362,436.5,2.6,2,9
72714386,404.4,1.6,1,8
72714387,426.5,2.3,1,7
72715288,402.5,2.1,1,6
72715536,372.4,1.1,1,7
72715699,404.4,1.5,1,8
77979836,439.4,2.9,2,9
89914268,404.4,1.5,1,8
89914396,372.4,1.1,1,7
89914516,426.5,2.1,1,7
89914578,426.5,2.1,1,7
89914852,389.4,1.5,1,7
90326905,435.5,3.3,2,8
91799409,405.5,3.4,0,6
91799433,403.5,3.3,0,7
91799458,391.4,3.0,0,6
91799478,391.4,3.1,0,6
91799479,377.4,2.7,0,6
91799481,377.4,2.7,0,6
91799483,391.4,3.1,0,6
91799502,374.4,3.3,0,6
91799514,389.4,3.2,1,7
91799517,389.4,2.7,0,6
91799527,377.4,2.6,0,6
91799535,417.5,3.5,0,6
118032848,469.5,3.0,0,8
