CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
60182318,388.5,4.1,2,4
141763975,400.5,4.1,2,4
9801241,402.5,4.2,2,5
9866603,416.5,4.6,2,5
22978308,412.5,4.7,2,4
22978330,410.5,4.3,2,4
141764074,414.5,4.5,2,4
141764075,414.5,4.5,2,4
9867360,430.5,5.0,2,5
22978037,494.6,4.4,3,5
22978238,444.6,4.4,2,5
22978293,477.6,5.0,3,5
22978296,463.6,4.6,2,5
22978303,412.5,4.8,2,4
22978304,428.5,4.9,2,5
22978306,411.5,4.0,2,5
22978309,430.5,4.8,2,5
22978311,426.5,4.9,2,4
22978314,434.5,4.7,2,6
22978316,402.5,3.9,2,5
22978317,414.5,5.0,2,4
22980683,400.5,4.5,2,4
87970794,442.5,5.0,1,5
16726368,470.6,5.0,1,5
22978044,372.4,3.8,2,4
22978158,404.5,4.3,2,5
22978250,429.5,3.7,3,5
21113489,384.5,3.9,2,4
86278350,402.5,2.9,2,5
91810706,418.5,2.9,2,5
155514174,338.4,2.6,2,4
22978047,387.5,3.4,3,5
166612059,414.5,5.0,2,4
134132753,474.6,3.6,4,6
134133489,449.5,4.7,2,5
134133636,452.5,4.8,3,5
134135629,476.5,2.0,5,7
134135756,460.5,3.1,4,6
134137335,474.6,4.5,2,6
134137709,491.6,4.6,3,5
134138342,458.5,4.5,2,6
134138746,492.6,5.0,3,5
134138833,472.6,4.9,3,5
134139458,476.6,4.1,3,6
134140831,472.6,4.8,2,6
134141243,478.6,4.0,2,6
134142075,456.6,4.6,2,5
134143065,454.5,3.7,4,6
134143670,444.6,4.1,3,5
134143691,489.6,4.8,3,6
134144346,470.6,4.8,3,5
134144685,464.6,4.8,2,4
134145821,446.6,4.8,2,5
134147696,470.6,4.8,3,5
134147856,449.5,4.7,2,5
134148342,456.6,4.6,2,5
134148821,490.6,4.6,3,6
134148950,470.6,4.6,3,5
134149249,430.5,3.9,3,5
134149387,458.6,4.9,3,5
134151813,490.6,4.6,3,6
134152869,456.5,4.3,2,6
134153355,458.6,4.6,3,5
134155000,488.6,4.8,2,6
134156005,491.6,4.6,3,5
134156249,492.6,5.0,3,5
137290220,480.5,3.3,3,6
20778067,389.4,4.7,1,5
20778071,418.5,4.6,2,5
22978096,420.5,4.3,2,6
22978097,404.5,4.3,2,5
22978098,428.5,4.4,2,5
22978313,434.5,4.7,2,6
60111668,429.5,4.1,2,6
67552085,404.5,4.4,1,5
69370167,404.5,4.1,1,5
69372516,430.5,4.6,1,5
87891551,434.5,4.5,1,6
90999097,418.5,4.6,2,5
91003158,404.5,4.3,2,5
91043952,430.5,4.8,2,5
91130829,434.5,4.7,2,6
91200935,428.5,4.4,2,5
91223883,434.5,4.7,2,6
91470460,429.5,4.1,2,6
91531758,404.5,4.3,2,5
91532778,420.5,4.3,2,6
153239346,436.5,4.6,2,6
170118180,418.5,4.7,0,5
175999588,489.6,4.8,2,6
175999772,489.6,4.8,2,6
176356846,489.6,4.8,2,6
176356879,487.6,4.6,2,6
176356887,487.6,4.6,2,6
138968140,386.5,4.2,2,4
154711152,440.6,5.0,1,4
146675090,402.5,3.6,3,5
20778066,371.5,4.6,1,4
22978310,442.5,5.0,2,5
22980681,463.6,5.0,3,5
23093757,360.4,3.3,2,4
23093766,360.4,3.3,2,4
25195518,487.6,3.6,4,6
25224900,473.6,4.7,4,6
25225084,473.5,3.3,4,6
57608172,400.5,4.6,2,4
58890158,400.5,4.2,1,4
59803536,444.5,4.1,2,6
59803647,445.5,3.0,4,6
60032781,400.5,4.5,2,4
68893546,486.6,4.7,2,6
69370033,444.6,4.2,1,5
69370205,414.5,4.9,1,4
69370235,463.6,4.6,0,5
69370402,426.5,4.9,1,4
69371121,387.5,3.2,2,5
69371292,429.5,3.5,2,5
69371700,426.5,4.7,0,4
69371799,491.6,5.0,1,5
69372231,414.5,4.8,1,4
69372665,412.5,4.6,1,4
69372798,400.5,4.3,1,4
69372957,372.4,3.6,1,4
69373272,412.5,4.5,1,4
69526642,402.5,4.2,2,4
69526643,400.5,4.5,2,4
69526644,400.5,4.6,2,4
69732741,463.6,4.8,1,5
70126107,444.6,4.2,1,5
70904586,360.4,3.5,2,4
73312181,470.6,5.0,1,5
87800481,402.5,4.0,1,5
87800563,428.5,4.7,1,5
87800622,410.5,4.1,1,4
87800823,416.5,4.4,1,5
87800896,411.5,4.2,0,5
87800933,430.5,4.8,1,5
87801015,402.5,3.7,1,5
87801146,430.5,4.9,1,5
87873306,400.5,4.6,2,4
89484622,388.5,3.9,3,5
89484682,430.5,3.7,2,5
89484692,404.5,2.6,3,6
90120670,386.5,4.1,2,4
90388665,386.5,4.1,2,4
90718663,411.5,4.0,2,5
90752697,386.5,4.6,1,4
90842905,442.5,5.0,2,5
90859555,426.5,4.9,2,4
90861715,414.5,5.0,2,4
90877670,428.5,4.9,2,5
90941675,444.6,4.4,2,5
90989416,463.6,4.6,2,5
90998244,387.5,3.4,3,5
91008044,410.5,4.3,2,4
91035412,473.6,4.7,4,6
91057894,429.5,3.7,3,5
91077391,463.6,5.0,3,5
91101896,372.4,3.8,2,4
91175885,430.5,5.0,2,5
91193735,400.5,4.5,2,4
91196738,402.5,4.2,2,5
91236050,487.6,3.6,4,6
91246204,477.6,5.0,3,5
91259715,473.5,3.3,4,6
91334555,412.5,4.8,2,4
91341062,402.5,3.9,2,5
91390477,494.6,4.4,3,5
91566384,412.5,4.7,2,4
91606124,416.5,4.6,2,5
117954150,430.5,4.1,2,6
118426532,370.4,3.5,2,4
121459753,491.6,5.0,1,5
129094085,386.5,4.2,2,4
132196470,402.5,4.4,2,5
134368259,388.5,3.6,2,4
134502318,384.5,4.0,2,4
138718154,402.5,3.7,2,4
140110065,386.5,4.0,2,4
141454582,385.5,4.6,2,3
141763989,414.5,4.7,2,4
141764015,431.5,2.7,3,5
141764023,401.5,3.2,2,5
141764031,414.5,4.1,2,4
141764051,431.5,3.5,2,5
141764104,420.6,4.7,2,5
141764129,442.5,3.8,2,5
142037703,490.6,4.7,1,6
143224178,416.5,4.9,2,4
146573475,416.5,2.4,4,6
146936510,388.5,3.6,2,4
153675258,372.4,4.1,2,4
154062831,430.5,4.1,2,6
154542454,410.5,4.6,2,4
155227882,418.5,4.2,1,4
156046282,388.5,3.9,2,4
156118390,470.5,4.0,0,6
156118407,428.5,4.1,1,5
156118670,372.5,4.3,2,4
156118679,473.6,5.0,1,5
156118746,496.5,2.7,3,8
156118747,456.6,4.6,1,5
156125971,416.5,3.8,2,5
156125983,430.5,4.3,1,5
156125987,487.6,4.1,1,6
156125990,458.5,4.3,1,6
156126017,416.5,3.5,2,5
156134558,488.6,4.3,1,7
156134783,458.5,4.8,1,6
156134784,428.5,4.1,1,5
156134793,466.5,2.7,3,7
156134829,397.5,4.2,2,5
156134832,491.6,4.7,1,6
156809759,472.6,3.3,2,6
156809787,400.5,4.2,1,4
160932086,385.5,5.0,1,4
163975100,387.5,5.0,1,4
164705197,386.5,3.8,1,4
166672755,486.6,3.1,2,6
166672851,442.5,4.0,1,6
166672907,487.5,3.4,2,7
166949331,400.5,4.5,2,4
167103895,388.4,3.7,3,5
167295372,428.6,4.9,1,4
168096980,401.5,4.3,2,3
168097013,429.6,5.0,2,3
168722191,428.6,4.9,1,4
168722211,458.5,3.6,2,6
169608114,400.5,4.4,1,4
170712613,373.5,3.9,3,3
170920521,386.5,4.2,2,4
172111721,472.6,3.0,3,6
172560790,400.5,4.5,2,4
172560812,414.5,4.9,2,4
172692887,386.5,4.2,1,4
173549702,386.5,4.1,2,4
175027337,388.5,4.5,3,5
175031213,420.5,2.8,2,5
175098520,496.5,3.1,3,8
175122766,414.5,4.1,2,4
175122800,442.5,3.8,2,5
175124722,431.5,3.5,2,5
175124780,420.6,4.7,2,5
175126966,400.5,4.1,2,4
175128880,414.5,4.7,2,4
175129584,414.5,4.5,2,4
175136221,431.5,2.7,3,5
175354982,414.5,4.5,2,4
175355408,401.5,3.2,2,5
175999585,483.6,4.9,2,5
175999593,471.6,4.7,2,5
175999628,469.6,4.6,2,5
175999629,472.6,4.0,2,5
175999656,387.5,3.2,2,5
175999696,284.34,1.9,2,4
175999719,486.6,4.3,2,5
175999739,472.6,4.0,2,5
175999746,495.6,5.0,2,5
175999748,486.6,4.4,2,5
176282386,472.6,4.0,2,5
176356873,495.6,5.0,2,5
176356884,483.6,5.0,2,5
176356911,469.6,4.5,2,5
91810707,491.6,5.0,1,5
91810708,418.5,2.9,2,5
95304290,470.6,5.0,1,5
95304291,470.6,5.0,1,5
135880007,388.5,4.2,2,4
139270157,402.5,2.9,2,5
156642853,415.5,4.2,2,4
168222976,357.4,4.4,1,4
169440748,414.5,4.1,1,5
169443766,433.5,1.4,1,6
169550367,428.5,4.1,1,5
176474471,388.5,3.8,1,4
176474482,415.5,4.0,1,6
176474483,415.5,4.1,1,6
176474488,404.5,2.8,2,5
176474489,388.5,4.1,2,4
176474495,400.5,4.8,2,4
