CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
73386634,381.2,3.7,1,5
72199381,451.3,3.7,2,5
76973766,450.3,3.7,2,6
71506874,492.4,3.5,2,6
11575401,422.3,3.0,2,6
11576617,481.3,3.1,2,7
11612136,451.3,4.0,1,6
11625675,409.3,4.4,1,5
11647759,436.3,3.2,2,6
11647760,436.3,3.3,2,6
11654090,395.3,4.4,2,5
11662380,450.3,3.7,2,6
11667754,367.2,3.7,2,5
21110756,367.2,3.6,2,5
21110757,381.2,3.7,1,5
44560358,436.3,3.3,2,6
56671943,493.4,2.6,2,7
59599420,363.5,2.3,2,5
86267948,432.3,3.6,2,5
123263625,464.4,4.2,2,6
146185126,416.9,3.3,1,6
146185128,404.9,3.7,1,6
146185129,404.9,3.2,1,6
146185130,390.8,2.8,1,6
146185142,445.9,3.0,2,7
146185156,332.76,3.0,2,5
146185163,411.5,2.4,2,7
146185165,388.8,2.6,1,6
146185170,415.9,3.1,2,6
146185191,402.8,3.0,1,6
146185205,382.8,3.9,1,5
151274525,449.3,4.5,0,5
76322034,415.9,3.1,2,6
117071753,451.3,3.7,2,5
156009790,416.9,3.3,1,6
162644472,383.9,2.6,2,5
162650764,417.4,2.8,2,8
162662986,349.4,1.9,2,5
162669508,383.9,2.6,2,5
117764443,435.3,4.0,1,5
144762739,464.4,4.4,2,6
145992669,403.3,3.5,1,4
146185203,369.5,3.2,2,5
71239608,462.3,3.6,2,6
71239833,490.4,4.3,2,6
71240011,490.4,4.3,2,6
71240309,490.4,4.3,2,6
71621328,451.3,3.2,2,7
71664254,451.3,3.2,2,7
71664255,451.3,3.2,2,7
78320601,489.4,4.0,2,7
155549513,495.4,4.5,1,7
155561036,496.4,4.5,1,7
156010282,416.9,3.3,1,6
162645446,466.3,2.6,3,7
162650873,480.3,0.8,3,8
162658746,383.9,2.6,2,5
162672478,494.3,3.4,2,8
145980989,436.3,4.3,0,5
145981902,386.8,3.0,1,5
54613769,450.3,3.7,2,6
155814650,490.4,4.3,2,6
73659133,492.4,3.5,2,7
11496366,464.4,4.2,1,6
11502981,435.3,4.8,1,5
11503318,450.3,3.7,2,6
11503874,477.4,4.5,1,6
11510387,436.3,3.3,2,6
11517826,441.3,2.3,3,7
11547471,479.3,2.3,3,7
11555042,496.4,3.0,3,7
11562021,478.4,4.5,1,6
11562217,489.4,3.9,1,7
11568619,450.3,3.7,2,6
11569494,494.3,3.3,2,8
11591115,481.3,3.9,1,7
11598102,476.4,4.3,2,6
11617847,381.2,4.0,2,5
11626620,453.3,3.2,1,7
11626823,464.4,3.9,2,6
11626824,464.4,4.2,1,6
11632641,396.2,3.3,2,6
11633681,445.3,3.3,1,7
11641451,476.4,4.2,1,6
11641497,479.4,3.0,2,7
11647795,437.3,3.6,1,6
11655684,466.4,4.2,1,6
11656142,492.4,3.6,1,6
11656144,492.4,5.0,1,6
11656158,493.4,2.7,3,7
11656159,493.4,3.8,2,7
11662438,453.3,4.0,2,7
11662991,480.4,3.9,1,6
11663328,499.4,3.5,1,7
11675945,411.3,2.9,2,6
11676140,421.3,4.5,1,5
11676204,424.3,3.2,2,6
11677713,499.4,3.5,1,7
11684380,478.4,4.4,1,6
11690598,433.9,3.2,2,7
11705106,452.3,3.0,2,7
11705849,490.4,4.8,1,6
11711842,439.3,3.5,2,6
11712322,461.3,3.2,1,7
11719356,450.3,3.7,2,6
21110753,480.4,3.3,1,7
21110754,464.4,4.1,1,6
24960023,449.3,4.4,1,5
24961490,444.3,4.7,0,6
24983769,482.3,0.7,3,8
58608421,481.3,3.9,1,7
58608422,441.3,2.3,3,7
58659116,479.3,2.4,2,7
58659118,451.3,3.9,1,6
58659119,478.3,3.3,2,6
58659121,480.4,3.8,2,7
58659124,445.9,2.2,3,7
58659130,433.9,3.2,2,7
58659132,480.4,3.8,2,7
58659135,406.5,2.2,2,7
58659136,436.3,3.3,2,6
58659138,464.3,2.9,1,6
58659141,465.3,4.2,1,6
58659144,439.3,3.8,2,7
58659147,399.2,3.8,1,6
58659148,480.4,3.7,2,7
58659150,497.4,4.7,1,7
58659151,493.4,4.2,1,7
58659154,464.4,4.2,1,6
58659157,466.3,2.8,2,7
58659160,439.3,3.5,2,6
58659162,480.4,3.3,1,7
58659164,466.3,3.3,3,7
58659168,471.3,2.5,5,10
58659169,478.3,3.1,1,6
58659175,475.3,3.5,1,7
58659176,478.4,4.5,1,6
58659185,423.3,4.9,1,5
58659191,468.3,3.8,2,7
58659192,494.4,4.4,2,7
58659195,498.4,3.3,1,8
58659203,464.3,3.0,2,6
58659204,460.3,4.1,1,6
58659208,481.3,3.9,1,7
58659220,490.4,4.4,1,6
58659222,465.4,4.9,2,5
58659225,491.4,4.7,1,6
58659228,465.4,4.8,2,5
58886076,489.4,4.8,2,6
59231701,449.3,4.4,1,5
59599406,439.3,3.8,2,7
59599411,467.3,4.3,1,7
59599428,493.4,4.2,1,7
59599432,453.3,4.1,1,7
59599437,435.3,4.8,1,5
59599446,480.4,2.9,3,7
59627607,483.3,4.3,1,8
60168432,457.3,2.8,1,6
66596939,450.3,3.8,3,6
67084424,493.4,4.1,2,7
67084493,476.4,4.4,2,6
67084494,466.3,3.0,2,7
67084534,478.3,3.3,2,6
67084570,453.3,4.1,1,7
67084672,464.3,3.0,1,6
68521868,481.3,4.1,1,7
68563708,433.9,3.2,2,7
68623516,494.3,3.7,2,7
68625002,478.4,4.3,2,6
68625418,451.3,3.9,1,6
68627278,452.3,3.6,2,7
68635204,436.3,3.4,2,6
68635207,436.3,3.4,2,6
68636146,480.3,3.2,2,7
69166080,468.3,0.4,3,8
70896750,409.5,3.2,2,6
70914422,481.3,4.2,2,7
71238832,367.2,3.6,2,5
71239719,462.3,3.6,2,6
71239831,490.4,4.3,2,6
71240010,490.4,4.3,2,6
71244283,474.4,4.5,2,6
71244286,474.4,4.5,2,6
71315006,450.3,3.7,2,6
71538087,492.4,3.5,2,6
71538361,478.4,4.7,2,6
71538635,492.4,3.5,2,6
71538636,478.4,4.5,1,6
71538637,478.4,4.5,1,6
71538923,464.4,4.2,1,6
71722447,476.4,4.0,2,6
71726534,497.3,3.4,1,8
71726535,497.3,3.4,1,8
71726665,494.4,4.0,2,7
71726786,490.4,4.2,2,6
71726788,490.4,4.3,2,6
71726789,491.4,3.0,3,7
71726790,492.4,3.3,2,7
71726910,492.4,3.3,2,7
71726912,491.4,4.5,2,6
71727166,481.3,3.2,2,7
71727283,455.3,3.7,1,7
71727284,473.3,3.9,1,8
71727390,488.3,3.2,2,9
71727392,453.3,2.6,2,7
71727393,489.3,3.4,2,9
71727493,454.3,3.4,2,7
71727494,472.3,3.6,2,8
71727495,454.3,3.4,2,7
71727496,454.3,3.4,2,7
71727497,452.3,2.4,3,7
71727498,466.3,2.7,3,7
71727602,488.3,3.4,3,9
71727607,468.3,3.5,2,7
71727716,468.3,3.8,2,7
71727717,467.3,3.0,2,7
71727719,468.3,3.7,2,7
71727836,467.3,3.0,2,7
71727837,466.3,2.7,3,7
71727838,468.3,3.7,2,7
71727839,486.3,4.5,2,8
71727840,466.3,2.7,3,7
71727965,468.3,4.0,2,7
71727967,468.3,3.7,2,7
71727969,466.3,2.7,3,7
71727970,486.3,4.0,2,8
71728094,486.3,3.8,2,8
71728095,466.3,2.7,3,7
71728096,486.3,4.5,2,8
71748145,463.3,4.0,1,6
71748160,477.4,4.3,1,6
71748161,491.4,4.7,1,6
71748162,479.3,3.1,1,7
71748163,493.4,3.5,1,7
71748164,478.3,2.8,2,7
71748176,492.4,3.2,2,7
71748177,476.4,4.1,2,6
71748178,490.4,4.4,2,6
71748179,478.3,2.8,2,7
71748180,492.4,3.2,2,7
71748192,477.4,2.6,3,7
71748193,491.4,2.9,3,7
71748194,476.4,3.9,2,6
71748195,490.4,4.5,2,6
71748209,476.4,4.1,2,6
71748210,490.4,4.4,2,6
71748212,491.4,2.8,3,7
71748225,492.4,3.1,2,7
71748227,492.4,3.1,2,7
71748229,477.4,4.2,1,6
71748237,491.4,4.8,1,6
71748239,477.4,4.3,1,6
71748240,491.4,4.7,1,6
71748247,493.4,3.4,1,7
71748249,490.4,4.6,1,6
71748251,477.4,4.4,1,6
71748261,476.4,4.0,2,6
71748263,490.4,4.4,1,6
72679528,409.5,3.2,2,6
