CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
10184653,485.9,3.6,2,8
156414,485.9,3.9,2,8
74766095,396.8,4.0,2,6
10163178,485.9,3.6,2,8
70683719,473.9,3.3,2,8
70690021,431.9,3.6,2,7
70694243,386.8,4.2,2,6
70694244,472.0,4.5,2,7
71244643,487.9,4.7,2,8
71244644,489.9,3.5,2,9
71244646,487.9,4.7,2,8
71512060,447.9,3.9,2,8
71514053,489.9,3.5,2,9
74766099,372.8,3.9,2,6
118900264,430.9,4.1,2,7
118900265,448.8,4.4,2,8
118900282,488.0,3.8,2,8
118900290,455.9,3.5,2,8
118900291,498.9,4.9,2,10
118900298,488.0,3.8,2,8
118900305,488.0,3.9,2,8
118900306,488.0,3.9,2,8
122191948,455.9,4.0,3,7
22225683,485.9,3.6,2,8
155514224,432.8,3.6,2,8
155520734,390.8,3.0,3,7
10504176,460.6,3.7,2,7
10789593,447.5,3.5,2,7
24945368,489.9,3.8,4,8
44278848,474.9,3.8,3,8
44542075,469.9,3.9,2,7
44564478,484.9,4.0,1,7
57519523,485.9,3.6,2,8
66555110,428.8,3.9,2,7
68470071,455.9,4.5,2,7
70690769,457.9,3.6,1,8
71543353,455.6,4.3,2,6
71549099,441.5,3.9,2,6
71585566,441.9,3.5,1,7
73053605,413.5,3.1,1,6
73346557,330.74,3.9,2,6
73354112,483.9,3.2,1,8
76335961,441.5,3.8,1,6
78323239,481.9,4.4,1,7
78323564,455.9,3.9,1,7
78324176,497.0,3.4,1,8
78324177,496.0,4.8,1,7
78324478,496.0,4.8,1,7
78324480,469.9,4.3,1,7
78324481,467.9,4.0,1,7
78324482,464.9,3.4,1,7
90322858,481.9,4.4,1,7
118900292,465.3,4.4,2,7
118900294,465.3,4.4,2,7
118900303,465.3,4.9,2,7
122188303,388.8,3.4,1,7
122191932,473.9,3.4,2,8
122191940,500.0,4.0,2,8
122191941,469.9,4.5,2,7
122191949,441.9,3.7,3,7
122191950,497.9,3.7,3,8
122191951,477.9,4.6,3,9
122191953,491.9,4.3,3,9
122191954,500.0,4.0,3,8
122192383,388.8,3.9,1,7
122192387,388.8,3.9,1,7
122417712,471.9,3.3,1,8
122417787,467.9,3.6,1,7
129239949,428.8,4.0,2,7
134139047,374.8,3.8,2,6
134154342,500.0,4.3,2,8
134155220,488.0,3.8,2,8
156058904,485.0,3.6,3,8
56933171,481.9,4.6,2,7
91667519,455.9,4.7,2,7
122422284,483.9,4.1,2,8
122432019,500.0,4.6,2,8
122432049,427.9,4.0,2,7
123134714,471.9,3.7,2,8
135201547,471.9,4.2,1,8
135201566,471.9,4.1,1,8
142392600,443.9,3.3,1,8
146246196,457.9,3.7,1,8
146246233,445.9,3.8,1,8
153503796,432.8,3.6,1,8
71613550,465.9,4.5,2,9
24883288,469.9,3.9,2,7
72737034,475.9,3.0,3,8
72737206,488.9,3.2,3,8
72737401,489.9,3.4,3,8
122191939,455.9,4.1,2,7
127029902,453.9,3.2,1,7
127032353,453.9,3.2,1,7
127032999,469.9,4.5,1,7
127034156,451.9,4.4,1,6
134139647,500.0,4.1,2,8
145957992,402.5,4.9,1,5
145958671,443.5,3.9,1,6
145974340,417.5,3.4,1,6
166626469,451.9,5.0,3,6
66555942,466.8,4.5,2,9
53445376,485.9,3.6,2,8
71585567,457.4,3.7,1,9
78323563,484.0,4.6,1,7
11496734,484.0,4.8,2,7
11554905,487.9,4.5,2,8
11605533,487.9,4.5,2,8
16678644,499.5,3.7,2,9
24945366,447.8,2.3,4,8
51038277,500.0,4.0,2,8
51039031,469.9,4.5,2,7
51039044,469.9,4.5,2,7
57721226,491.9,2.2,4,9
69100292,473.9,3.2,3,8
69100478,486.9,3.3,3,8
69100539,492.3,3.8,3,8
69100796,443.9,3.2,3,7
69100914,478.3,3.8,3,7
69100943,486.9,3.3,3,8
69101132,443.9,3.2,3,7
69101380,464.3,4.5,2,7
87056475,471.9,3.1,3,8
87056553,485.9,3.6,2,8
87056554,485.9,3.6,2,8
87056555,500.0,4.0,2,8
87056556,500.0,4.0,2,8
87694328,426.9,2.4,3,7
117983742,471.9,3.9,2,8
122422310,497.9,4.4,2,8
153503809,471.9,4.1,1,8
21847826,318.73,3.4,2,6
60147041,488.0,3.7,2,8
122191944,481.9,4.7,2,7
71585670,499.5,3.3,1,10
71585872,472.9,3.5,1,8
137635479,480.9,4.4,4,8
137657906,494.9,4.7,3,8
145950522,402.5,4.7,1,5
145950578,443.5,3.9,1,6
145954639,458.6,2.8,1,7
145955629,457.6,4.2,1,6
145955684,374.4,3.9,1,5
145955767,445.6,4.1,1,6
145956263,472.6,3.2,1,7
145957627,388.5,4.3,1,5
145958695,388.5,4.5,1,5
145959579,445.5,2.7,1,7
78322920,497.9,3.5,1,8
78323236,496.0,4.7,1,7
139466195,330.74,3.9,2,6
57721266,496.9,3.5,5,8
117983791,427.5,4.3,2,6
135201206,483.9,3.9,1,8
74766100,453.9,3.7,2,7
44564401,470.9,3.5,2,7
127050070,429.8,2.7,3,7
137636726,482.9,4.9,3,8
171342830,372.8,3.2,1,6
171347789,485.0,3.0,1,8
171356602,386.8,3.7,1,6
10137640,431.9,3.5,2,8
59424264,360.8,2.8,1,6
59424267,468.9,5.0,1,8
66823342,429.9,3.6,2,7
66823741,465.7,4.3,2,6
9935711,500.0,4.0,2,8
70680455,435.9,2.6,4,8
74766106,455.9,3.7,2,7
74766108,431.9,3.6,2,7
134827841,419.2,4.0,2,6
134827844,437.2,4.5,2,7
134827864,399.8,2.5,3,7
10116473,476.9,3.4,2,7
10117783,500.0,4.0,2,8
10163932,500.0,4.0,2,8
10205404,469.9,4.5,2,7
10207168,500.0,3.8,2,8
10228752,499.9,4.0,2,9
10238710,469.9,4.3,2,7
10278628,499.9,4.0,2,9
10299687,484.0,4.9,2,7
10457581,473.9,2.8,1,8
10600107,461.9,4.0,1,9
11167404,473.9,4.1,2,9
11397904,500.0,4.0,2,8
11511163,471.9,3.2,2,8
11525684,470.9,2.9,3,8
11663135,487.9,4.9,2,8
11670254,484.0,4.8,2,7
15541852,358.8,4.2,2,6
16737496,500.0,4.0,2,8
17874523,485.9,3.9,2,8
18321645,431.9,3.5,2,8
18765584,362.8,3.3,2,7
21080007,466.3,4.1,2,8
21100373,467.9,4.5,2,7
21345333,445.9,3.6,2,9
21345334,459.9,4.0,2,9
21345335,459.9,4.0,2,9
21345336,473.9,4.3,2,9
21847829,401.8,3.7,2,6
21979741,499.9,4.0,2,9
22225674,402.8,4.0,2,7
22225687,496.0,4.9,2,7
22225717,388.8,3.8,2,7
22269916,372.8,4.7,2,6
22269932,372.8,4.9,2,6
22269991,484.9,4.5,2,8
22270036,456.9,3.8,3,8
22270148,358.8,4.3,2,6
22270156,485.5,3.3,2,10
22270187,372.8,4.7,2,6
22452016,499.9,3.6,2,9
22452018,488.0,4.5,2,9
22452027,473.9,4.3,2,9
22452036,488.0,4.5,2,9
22452043,445.9,3.1,2,9
22452045,445.9,3.6,2,9
22452046,459.9,3.8,2,9
22452065,473.9,4.1,2,9
23159397,496.0,5.0,2,7
23159402,496.0,4.8,2,7
23159403,401.9,4.0,2,7
23159404,455.9,4.4,2,7
23159412,459.0,4.0,2,8
23159437,443.9,4.9,2,7
23159438,484.0,4.9,2,7
23658613,441.9,3.2,3,7
24810655,440.8,4.2,2,9
24945289,433.8,2.0,4,8
24945367,461.9,2.7,4,8
24961212,483.3,4.7,2,8
45141337,488.9,4.8,2,8
49848545,469.9,4.5,2,7
53681893,469.9,4.3,2,7
53753433,485.9,3.9,2,8
53845389,456.9,3.8,3,8
54385031,485.5,3.3,2,10
56933186,481.9,4.9,2,7
56933188,481.9,4.6,2,7
56933189,496.0,4.9,2,7
56933203,496.0,4.8,2,7
57007749,496.0,4.9,2,7
57721281,477.9,1.8,4,9
58085952,497.9,3.8,2,8
58085973,497.9,3.8,2,8
58640988,488.0,3.4,3,9
58735296,406.8,3.5,2,6
58735312,460.9,3.9,2,6
58865002,485.9,3.6,2,8
58865006,500.0,3.9,2,8
59081230,415.8,3.3,3,7
59382647,485.9,3.1,3,8
59382667,455.9,3.7,2,7
59382674,500.0,3.6,2,8
59682553,489.9,2.7,3,9
59722264,466.5,3.0,3,9
59981606,491.9,3.7,2,9
60015215,465.5,3.6,2,8
60169073,443.9,3.8,2,8
60169075,457.9,4.3,2,8
66555106,428.8,3.9,2,7
66556612,428.8,3.9,2,7
66584139,372.7,4.6,2,9
66584167,487.9,4.5,2,8
66584187,487.9,4.5,2,8
66584201,346.8,4.2,2,6
66584216,484.0,4.8,2,7
66584256,497.9,3.9,1,7
66584257,497.9,3.9,1,7
66584277,469.9,4.4,2,7
66584279,487.9,4.9,2,8
66584297,421.2,4.1,2,6
66584330,484.0,4.8,2,7
66584336,487.9,4.9,2,8
66584339,346.8,4.3,2,6
66584353,336.72,3.9,2,7
66584354,332.76,3.8,2,6
66609164,419.8,3.2,3,8
66609165,419.8,3.2,3,8
66609294,336.72,3.5,2,7
66616668,500.0,4.0,2,8
66616851,484.0,4.9,2,7
66616893,485.9,3.6,2,8
66616916,500.0,4.0,2,8
66621901,500.0,4.0,2,8
66634711,456.0,4.8,2,7
66670160,485.9,3.9,2,8
66678070,500.0,4.3,2,8
66755427,432.8,3.0,2,8
66755674,490.9,3.3,2,9
66779652,500.0,4.3,2,8
66780296,500.0,4.3,2,8
66780352,485.9,3.9,2,8
66780636,469.9,4.8,2,7
66780648,500.0,4.1,2,8
66780783,500.0,4.3,2,8
66823343,429.9,3.6,2,7
66823742,465.7,4.3,2,6
66922563,416.9,4.1,1,7
66936586,500.0,4.0,2,8
66936587,500.0,4.0,2,8
66936711,500.0,4.0,2,8
66936787,500.0,3.8,2,8
66936865,469.9,4.5,2,7
66979038,402.8,4.3,1,7
67261143,485.9,3.4,2,8
67323461,485.9,3.3,2,8
67334939,481.9,3.8,3,8
67414013,485.9,4.2,2,8
67523800,469.9,4.6,2,7
67962563,485.9,3.2,3,8
67979696,469.9,4.5,2,7
67979787,500.0,4.0,2,8
67979802,469.9,4.5,2,7
68029379,449.5,4.2,2,7
68029559,449.5,4.2,2,7
68037243,409.5,3.3,2,7
68151898,499.9,4.0,2,9
68461131,415.9,4.3,2,7
68470072,455.9,4.5,2,7
68700189,496.0,5.0,2,7
68704139,484.0,4.9,2,7
68704319,496.0,4.8,2,7
68935160,446.9,4.4,1,8
69100140,436.3,3.6,3,7
69100311,389.8,2.7,3,7
69100428,432.9,2.8,3,8
69100536,492.3,4.3,3,7
69100689,401.8,2.9,3,7
69100911,419.8,3.3,2,8
69101007,439.8,3.5,3,9
69101217,445.8,3.3,4,8
69101228,389.8,2.7,3,7
69101253,457.4,3.8,3,9
69108974,485.9,3.3,2,8
69190241,485.9,3.9,3,8
69289788,446.9,4.4,1,8
69320232,465.3,4.7,2,7
69375752,496.0,4.6,3,7
69532789,497.0,4.2,2,8
69532793,497.0,4.0,2,8
69604736,376.8,3.5,2,7
69805748,484.9,4.5,2,8
69861916,479.9,2.1,3,10
69952070,473.9,4.3,2,9
69954608,459.9,3.5,2,9
69955109,473.9,4.3,2,9
70025746,496.0,4.6,3,7
70039585,499.9,3.7,2,9
70039587,499.9,3.7,2,9
70039591,499.9,3.7,2,9
70040117,499.9,3.7,2,9
70040120,499.9,3.7,2,9
70040125,499.9,3.7,2,9
70162664,445.9,3.6,2,9
71020686,465.5,2.8,3,8
71085842,496.0,5.0,2,7
71085844,467.9,4.0,2,7
71085846,496.0,4.9,2,7
71085969,481.9,4.5,2,7
71085970,481.9,4.4,2,7
71086152,496.0,4.9,2,7
71086153,496.0,5.0,2,7
71086157,497.9,3.8,2,8
71244629,473.9,4.4,2,8
71244638,482.3,4.5,2,8
71244660,497.9,4.7,2,10
71244665,473.9,4.4,2,8
71244669,433.8,4.0,2,8
71256409,485.9,3.6,2,8
71469072,440.9,4.1,2,7
71469183,485.9,2.7,2,8
71469184,498.9,2.9,2,8
71469185,498.9,2.9,2,8
71488767,441.9,3.7,2,7
71488786,481.9,4.4,2,7
71488862,481.9,4.4,2,7
71488863,481.9,4.3,2,7
71512057,419.5,3.4,2,7
71512058,491.9,3.7,2,9
71512059,447.9,3.9,2,8
71512061,461.9,4.3,2,8
71512062,447.9,3.9,2,8
71512064,487.9,5.0,2,8
