CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
77461273,492.4,2.9,1,9
70678916,450.4,3.2,1,8
15951527,446.4,3.5,1,7
11957756,476.4,3.7,1,8
56649280,494.5,3.1,1,9
86697032,480.4,3.1,2,9
89541678,450.4,3.4,1,8
89541680,450.4,3.4,1,8
89542198,450.4,3.4,1,8
89553307,492.4,2.9,1,9
89553308,492.4,2.9,1,9
122180597,494.5,3.1,1,9
122180603,450.4,2.9,1,8
46898524,448.4,3.0,1,8
122180598,494.5,3.1,1,9
162645547,458.5,3.3,0,7
164621872,476.4,3.3,1,8
164625591,458.5,3.2,1,7
15951624,490.5,4.1,1,8
15951914,486.5,3.8,1,7
15952000,458.5,3.6,1,7
156596418,480.4,3.0,2,9
74222948,436.4,3.0,1,8
50940514,482.4,3.7,1,9
127045171,489.4,4.7,1,9
166441359,371.4,3.0,1,4
46898523,434.3,2.6,1,8
46937832,492.5,4.5,1,8
46937887,474.5,4.4,1,7
49841338,426.4,2.9,1,6
49841339,422.5,3.2,1,5
49841340,476.4,3.7,1,8
49842834,433.5,2.6,1,6
51002463,444.4,3.0,1,7
51002506,494.4,3.8,1,9
51347163,478.5,3.3,2,8
51349339,464.4,3.1,2,8
58083473,449.4,4.0,0,8
58083480,453.5,3.7,1,8
58319609,410.5,3.1,1,5
59296519,476.4,3.7,1,8
59296522,464.4,3.6,1,8
59296524,490.5,4.1,1,8
59296553,446.4,3.5,1,7
60202466,492.5,3.8,1,8
60202478,492.5,3.8,1,8
67106793,422.4,3.4,3,8
67108050,423.4,3.4,2,7
68018564,394.4,2.5,1,5
68048740,448.4,3.8,3,8
71433448,464.4,3.6,1,8
71599287,460.4,3.9,1,7
76070623,444.4,3.1,1,7
76070624,462.4,3.2,1,8
76070728,462.4,3.2,1,8
76070729,462.4,3.2,1,8
76070731,446.4,2.6,1,8
76070837,474.4,3.3,1,8
76070838,476.4,3.4,0,8
76070946,490.5,3.8,0,8
76070947,476.4,3.6,1,8
76070948,488.5,3.6,1,8
76071050,420.5,2.8,1,5
76071168,458.5,3.5,1,7
76071286,458.5,3.5,1,7
76071288,472.5,3.7,0,7
76071290,440.5,3.0,0,6
78127782,460.4,3.9,1,7
78129299,410.5,3.1,1,5
78129347,478.5,3.8,0,8
86609859,472.5,3.6,1,7
87084157,451.4,3.4,2,8
87415342,465.5,4.3,1,7
87596732,476.4,3.7,1,8
88613983,438.5,4.0,1,5
88614184,452.5,4.3,1,5
88850038,436.5,3.6,1,5
88850044,422.5,3.2,1,5
88856174,428.5,3.2,1,6
88856208,476.4,3.7,1,8
88857030,428.5,3.2,1,6
88857031,440.5,3.3,1,6
88857117,381.4,3.3,0,5
88957008,465.4,2.1,3,8
88961848,428.5,2.9,1,6
88963558,496.5,3.6,2,9
89404561,460.5,3.4,1,7
89555821,475.5,4.5,0,8
89555829,435.4,3.8,0,8
89629508,458.4,3.9,1,7
89629509,458.4,3.8,1,7
89629510,458.4,3.9,1,7
89629511,458.4,3.8,1,7
89629569,460.4,3.9,1,7
89629686,458.4,3.8,1,7
89629687,458.4,3.8,1,7
90165554,488.5,3.5,0,8
90165555,474.4,3.3,1,8
90165556,462.4,3.2,1,8
91040273,452.4,2.9,2,8
91091235,450.4,4.0,2,8
91333238,436.4,3.4,1,7
91425190,464.4,3.2,1,8
91432613,492.5,3.9,1,8
91473173,490.5,3.7,1,8
91537233,446.4,3.0,1,7
117656648,490.5,3.9,0,8
117677332,458.4,3.8,1,7
117677352,458.4,3.8,1,7
117677462,458.4,3.9,1,7
117677507,474.4,4.5,1,7
117677508,474.4,4.5,1,7
117677512,474.4,4.5,1,7
117838362,479.5,2.5,3,8
117865774,482.5,3.9,0,7
117865784,420.5,3.0,0,5
117865789,438.5,3.1,0,6
117865860,470.5,3.8,0,7
117865865,484.5,4.2,0,7
117890278,465.4,3.8,2,8
118213843,474.4,3.7,1,8
118391746,478.6,4.9,1,5
118391748,382.4,2.5,1,5
118391749,464.6,4.6,1,5
118391751,478.6,4.7,1,5
118391752,450.5,4.1,1,5
118447072,466.5,2.8,1,8
118487328,472.4,4.1,3,10
121259941,463.5,3.7,2,8
121260079,427.5,3.0,2,6
122473609,463.4,4.1,1,7
123163159,444.4,2.7,1,7
123195758,428.5,2.5,1,6
123199269,476.4,3.7,1,8
123209032,478.5,3.2,1,8
123239020,476.4,3.4,1,8
123266966,466.5,4.0,2,9
123284800,492.5,4.5,2,9
123296531,492.5,4.5,1,8
123334706,429.5,3.9,1,5
123365567,452.5,4.3,1,7
123492921,480.5,3.5,1,8
123513389,408.5,2.7,1,5
123523652,436.4,3.1,2,8
123564980,480.5,4.1,1,9
123590424,482.4,3.3,1,9
123591607,473.5,3.5,2,8
123595593,494.4,3.5,1,9
123611642,448.4,2.6,1,8
123684976,434.4,3.6,1,8
123698270,492.5,4.1,1,8
123743381,478.5,4.1,2,9
123744183,422.5,2.8,1,5
123767783,466.5,4.6,2,8
123851726,433.5,2.2,1,6
123857128,461.5,3.4,2,8
123889969,478.5,4.1,1,8
123896993,450.4,3.4,2,8
123912788,426.4,2.6,1,6
123916565,482.4,3.4,1,9
123962732,436.4,3.0,1,8
123971896,464.4,3.3,1,8
124001654,480.5,5.0,1,8
124025070,494.5,3.4,1,8
124029536,480.5,3.7,2,8
124092967,466.5,3.6,1,8
124098659,446.4,4.0,1,8
126733172,479.5,3.0,2,9
126746015,450.5,3.8,1,7
129106604,466.5,3.3,2,8
129132101,446.4,3.4,1,7
129132103,480.4,2.7,1,9
129132104,466.4,2.5,1,9
129132212,480.4,2.9,1,9
134353954,480.5,3.6,1,8
134354084,454.4,3.2,2,8
134374666,458.4,4.1,1,8
134374768,428.4,3.9,1,7
134374837,440.4,4.0,1,7
135176702,480.5,4.2,1,8
135182117,476.4,3.5,1,9
