CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
412,148.2,0.2,1,2
91462,148.2,0.2,1,2
442649,146.19,0.6,0,2
7728,121.18,2.0,0,1
18985,160.22,1.0,0,2
12613538,177.2,1.1,0,4
27919,177.2,1.1,0,4
10823,107.15,1.7,0,1
10874,135.21,2.5,0,1
238307,149.23,3.0,0,1
11388,160.22,0.9,1,2
409,178.23,0.7,0,2
61715,135.21,2.5,0,1
78405,121.18,1.9,0,1
10249,158.2,1.3,0,1
238432,176.26,1.6,0,2
68107,178.23,0.7,0,2
93047,148.2,0.2,1,2
211457,178.23,0.2,0,2
261474,160.22,0.9,1,2
70738,121.18,2.1,0,1
7330459,136.19,0.5,0,2
3036156,186.25,1.4,0,2
51291,189.21,1.3,0,4
22766,163.26,3.5,0,1
74922,157.21,2.7,0,0
6919000,163.24,1.2,1,1
17785,178.23,0.2,0,2
4401657,150.22,0.8,0,2
10262111,196.67,2.1,0,2
29758,176.26,1.0,0,2
12306779,160.22,0.9,1,2
165384,190.24,0.7,0,2
98899,150.22,0.8,0,2
927709,176.26,1.0,0,2
697607,158.2,1.2,0,1
72918,149.23,3.2,0,1
431,161.22,0.2,0,1
181139,161.22,0.2,0,1
11644688,266.4,3.4,0,2
44302712,150.22,0.9,0,2
44456496,204.31,2.5,0,2
9815594,200.28,1.5,1,2
10466854,241.13,2.2,0,2
44304543,186.25,1.2,1,2
67786,162.23,1.1,0,2
4658388,176.26,1.5,0,2
264946,136.19,0.8,0,2
138459,135.21,2.6,0,1
2771688,122.17,0.1,1,2
74927,164.25,1.0,0,2
12313859,178.23,0.7,0,2
2779264,240.34,2.7,0,1
16778481,136.19,0.6,1,2
528366,189.21,1.3,0,4
91998,133.19,2.7,0,1
430,177.27,1.3,0,1
44455920,190.28,1.8,0,2
44455952,190.28,2.1,0,2
44455953,190.28,2.1,0,2
44456500,190.28,2.1,0,2
44456501,190.28,2.1,0,2
44266824,200.28,1.5,1,2
13914106,176.26,1.6,0,2
13914112,218.34,3.1,0,2
133106,186.25,1.4,0,2
204066,180.22,1.3,0,3
4622927,176.26,1.5,0,2
5020711,176.26,1.6,0,2
6451351,238.33,2.7,0,2
9837085,200.28,1.7,0,2
10398005,204.31,2.4,0,2
