CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
49843482,326.8,5.0,2,3
49830280,370.9,3.9,2,5
24801183,245.67,1.5,2,4
44341375,320.8,3.8,2,3
44416064,321.8,3.8,2,4
60156101,320.8,3.4,2,3
118861407,265.09,2.8,1,3
129206866,355.3,3.4,2,7
129206884,355.3,3.4,2,7
129206987,321.8,3.2,2,4
129206992,288.31,1.5,2,5
126509012,390.7,3.6,2,8
44341443,322.3,3.4,2,5
122193408,307.74,2.4,1,4
137645179,312.8,3.1,2,3
155513136,356.8,4.3,2,5
155519108,338.8,4.2,2,4
11537943,369.3,4.0,2,7
49830273,342.8,2.9,3,5
49830275,334.8,4.6,2,3
49830279,327.8,4.3,2,4
49830285,245.67,1.9,2,4
49830294,342.8,2.9,3,5
49830295,329.8,3.9,3,4
49830298,287.75,2.2,3,4
49830300,370.9,3.9,2,5
49830303,330.81,3.3,3,5
49830305,398.9,4.8,3,5
49830311,244.68,2.5,2,3
49830313,348.8,4.8,1,3
49830315,342.8,2.9,3,5
49830316,230.65,2.2,1,3
49830319,284.74,3.8,2,3
52933058,368.8,3.0,2,6
52933061,367.8,4.0,2,5
52933301,451.4,4.7,2,10
52933302,435.8,4.9,2,8
52933790,435.8,4.6,2,8
52933793,415.4,4.3,2,8
52934025,397.4,4.2,2,7
52934258,385.8,4.2,2,6
52934259,367.8,4.0,2,5
52934260,384.3,4.5,2,4
52935810,385.8,4.1,2,6
52936039,417.8,4.4,2,7
52936254,361.4,4.1,2,5
52936255,397.4,4.2,2,7
52936259,364.8,3.6,2,5
67201000,415.4,4.6,2,8
67201175,381.8,4.4,2,5
67203040,361.4,4.1,2,5
86291629,418.9,3.4,3,5
86291630,434.9,2.4,3,5
86291631,425.0,3.3,4,5
86291632,425.0,3.3,4,5
86291839,432.0,4.6,2,4
86291840,446.0,5.0,2,4
86291841,417.9,4.5,3,4
86291842,432.0,5.0,2,4
86292043,432.0,4.9,3,4
86292046,403.9,4.1,3,4
86292234,417.9,4.5,3,4
86292235,330.8,3.1,2,4
86292236,417.9,4.5,3,4
86292237,426.0,3.6,3,5
86292238,432.0,5.0,2,4
86292427,432.0,4.8,3,4
86292629,432.0,5.0,2,4
86292632,327.8,2.3,3,4
86292825,341.8,2.8,2,4
86293011,417.9,4.5,3,4
86293012,432.0,5.0,2,4
86293396,437.5,4.2,3,7
86294143,417.9,4.5,3,4
86294144,432.0,5.0,2,4
86294329,417.9,4.5,3,4
86294330,435.9,4.6,3,5
86294331,418.9,3.4,3,5
86294531,453.9,4.7,3,6
86294532,436.9,3.5,3,6
86294533,435.9,4.6,3,5
86294534,453.9,4.7,3,6
87307147,381.8,4.7,2,5
90114037,464.4,4.7,2,9
90411118,418.9,3.4,3,5
90411712,439.0,3.8,3,5
90411717,417.9,4.5,3,4
90411750,401.5,3.9,3,5
90411958,395.9,4.2,2,4
90412006,432.0,4.6,2,4
90412010,435.9,4.6,3,5
90412052,294.33,2.1,2,4
90412431,432.9,3.9,2,5
90412477,343.8,4.1,2,3
90412497,329.8,3.8,2,3
90412605,428.9,3.2,4,6
90412637,446.9,3.4,4,7
90412676,417.9,4.5,3,4
90412702,435.9,4.6,3,5
90412742,435.9,4.6,3,5
90412841,453.9,4.7,3,6
90413566,435.9,4.6,3,5
90413763,401.5,4.0,3,5
90413826,436.9,3.5,3,6
90420452,327.8,3.4,2,3
118211172,381.8,5.0,2,5
118938514,390.4,2.8,2,8
118938517,391.8,4.3,2,6
118938539,410.8,3.4,2,8
118938577,392.8,3.3,2,7
122446238,264.26,2.9,1,4
126537565,372.8,3.7,2,7
126537567,373.75,3.4,2,8
162675922,328.8,2.3,3,5
166636482,264.26,2.9,1,4
118729991,368.8,4.3,1,5
2812043,394.8,4.3,1,6
24759735,235.71,2.1,2,2
25165168,273.72,2.4,2,4
56659827,356.2,4.4,2,4
46234190,366.8,4.7,1,4
46234353,338.8,3.9,2,4
86291634,388.9,4.3,2,3
86292824,468.4,4.6,3,6
90413569,330.8,3.1,2,4
66556104,342.8,2.4,2,5
90420180,401.9,3.3,3,4
165156323,312.8,3.5,1,3
44437060,296.75,2.6,2,2
44437068,310.8,2.9,2,2
56883354,361.4,3.2,3,7
56887245,369.3,3.6,2,7
56913405,315.8,2.9,2,4
71525246,382.8,4.1,3,6
71272395,314.66,4.6,1,5
135035638,220.63,3.4,1,2
56913487,335.8,3.3,2,4
56910474,335.33,3.7,2,7
139208023,433.0,4.5,2,3
118934564,279.72,3.8,1,2
118934591,279.72,3.8,1,2
15952399,321.8,3.8,2,4
22477645,228.67,3.6,1,1
24861520,321.8,3.8,2,4
89683741,258.7,2.4,2,3
56888792,263.22,2.8,1,5
56916569,292.26,3.1,2,6
70729949,329.4,3.4,2,4
1474313,420.9,4.4,2,6
10299172,474.9,3.1,3,8
11660781,374.7,4.5,1,6
11999613,247.65,3.0,1,3
16118014,402.8,3.2,1,6
16118435,419.8,4.4,1,6
16118716,416.8,4.5,2,6
16118718,401.8,4.3,1,5
16118838,401.8,4.3,1,5
18175232,338.8,3.9,2,4
23282711,339.8,3.9,2,5
23282794,353.8,4.3,2,5
23652980,352.8,4.4,2,4
24802619,497.9,4.7,2,8
24951768,367.8,4.1,2,5
24951771,367.8,4.1,2,5
24952127,435.8,4.9,2,8
24952129,435.8,4.9,2,8
24952130,435.8,4.9,2,8
24952489,385.8,4.2,2,6
24952492,367.8,4.1,2,5
24952874,401.4,4.3,2,8
24953227,367.8,4.1,2,5
24953230,367.8,4.1,2,5
24956039,417.8,4.8,2,7
24956040,435.8,4.9,2,8
24956403,385.8,4.2,2,6
24956404,417.8,4.8,2,7
24956405,385.8,4.2,2,6
24956406,417.8,4.8,2,7
24956407,385.8,4.2,2,6
24956757,435.8,4.9,2,8
24956759,417.8,4.8,2,7
25020264,369.3,4.0,2,7
25020321,428.8,4.3,2,8
25020322,395.3,2.6,2,9
25020323,428.8,4.3,2,8
25020372,395.3,2.6,2,9
25024882,442.8,4.5,2,8
25024887,367.8,4.1,2,5
25025272,367.8,4.1,2,5
25025275,381.8,4.5,2,5
25025277,381.8,4.5,2,5
25025278,418.8,3.8,2,8
25025667,367.8,4.1,2,5
25025874,381.8,4.5,2,5
25151531,383.4,3.8,2,7
25151715,366.8,4.7,2,4
25151907,366.8,4.7,2,4
25151910,408.4,3.5,2,8
25152105,384.8,4.8,2,5
25183475,458.9,3.1,3,8
44538525,367.8,4.4,2,5
44538526,402.3,3.6,2,9
44538631,368.8,3.4,2,6
44538632,385.3,2.5,2,9
44548157,298.7,2.9,1,4
49855204,410.8,3.7,2,8
51356131,327.69,3.3,2,7
52932832,381.8,4.7,2,5
52933060,381.8,4.3,2,5
52934487,423.4,4.7,2,7
54588824,367.8,4.4,2,5
54589294,377.8,4.4,2,6
54589332,353.8,4.1,2,5
54589334,353.8,4.1,2,5
54589336,384.4,3.6,2,8
57471648,428.8,4.3,2,8
57597695,346.79,2.4,3,6
57597701,353.8,4.2,2,5
57597704,311.69,3.8,1,5
57597706,395.9,5.0,2,5
57597707,354.8,2.8,2,6
57597711,381.8,4.6,2,5
57597716,354.8,2.7,2,6
57597726,360.8,2.6,3,6
57597732,381.8,4.7,2,5
57597748,354.8,2.7,2,6
57597780,367.8,4.2,2,5
57597860,385.8,4.3,2,6
57597865,381.8,4.6,2,5
57597868,385.8,4.3,2,6
57597907,360.8,2.6,3,6
57597933,382.8,3.5,3,6
57597963,366.8,4.8,2,4
57597969,366.8,4.8,2,4
57598130,382.8,3.5,3,6
57619180,391.8,4.8,2,5
57619186,366.8,4.7,2,4
57619191,366.8,4.7,2,4
57619222,366.8,4.7,2,4
57619246,366.8,4.7,2,4
57619252,417.8,4.8,2,7
57619281,333.4,3.0,2,5
