CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
10288191,441.2,3.1,3,7
147000322,456.7,3.3,3,6
139593402,427.2,3.1,4,7
10194489,413.2,3.5,3,6
10237874,412.6,4.0,2,5
10238358,443.7,3.6,4,6
10238964,485.7,4.2,3,6
10311122,487.7,3.0,4,7
11166915,453.7,4.9,2,5
11179228,485.7,4.2,3,6
11245608,368.59,4.5,2,4
11317775,487.8,4.9,2,6
11385569,457.7,4.0,4,6
11395407,397.63,4.3,3,4
11488868,497.7,4.3,3,6
21114207,382.61,4.4,1,4
21114233,441.7,4.6,2,5
58890618,499.8,4.8,3,6
58890633,469.3,3.7,3,7
58890634,467.7,5.0,2,5
58890636,471.7,4.1,2,6
58890661,471.7,3.9,3,6
58890669,497.7,4.7,2,6
58890676,499.8,4.9,3,6
58890697,470.7,3.8,3,6
58890699,485.7,4.5,2,6
58890711,471.7,3.9,3,6
58890716,485.7,4.3,3,6
59469095,496.8,2.9,3,6
59544973,437.3,3.3,3,6
68224756,482.7,2.4,3,6
69106642,496.8,2.9,3,6
69916053,496.8,3.0,3,6
70700669,483.7,4.9,2,6
70948678,455.7,3.8,3,5
87132836,457.7,3.2,3,6
87377783,457.7,3.9,3,6
88571063,469.7,4.1,3,6
88987829,420.9,4.0,3,6
88987941,450.9,3.4,3,7
89116114,441.3,4.2,3,6
89127372,420.9,3.9,3,6
89127380,420.9,3.9,3,6
89134711,378.8,3.3,4,6
89180401,460.8,4.3,3,9
90733238,413.63,4.3,3,5
91184887,413.63,4.0,3,5
91406373,413.63,3.7,3,5
122440983,457.7,2.5,3,6
123162731,457.7,3.8,3,6
124101167,399.6,3.8,4,5
129041959,440.7,4.6,1,5
129042107,446.9,4.5,3,6
129042142,497.7,4.3,3,6
129042158,493.8,4.3,1,5
130240383,481.7,4.5,2,5
130240394,465.3,4.2,3,6
130240568,392.8,3.3,3,6
130240882,467.3,2.7,4,7
130240925,455.7,4.0,2,5
130240948,388.8,4.6,2,5
130241033,454.7,3.7,3,5
130241091,477.7,3.5,2,5
130241478,422.8,2.6,4,7
130253063,481.7,4.4,2,5
130267579,480.8,4.1,3,5
132191059,441.2,3.3,3,7
140138216,471.7,3.0,3,6
141620404,459.7,3.2,3,6
142808149,487.7,2.8,4,7
143014307,499.8,4.8,3,6
143491972,471.7,4.2,3,6
144762770,472.7,3.4,3,7
153530558,457.7,3.4,3,6
155130277,489.7,2.3,5,8
155220954,397.17,3.2,3,6
156309811,441.2,3.6,3,7
161525820,439.3,4.6,2,6
163806781,499.8,4.7,3,6
166112443,455.2,3.3,3,8
169626745,437.3,3.3,3,6
169911438,499.7,4.6,2,7
170168774,457.7,3.0,3,6
170442012,489.7,4.0,2,6
171457497,499.8,4.9,2,6
171457593,499.8,4.6,2,6
171457661,499.8,4.0,2,6
171457694,483.3,4.0,2,7
172701082,485.7,4.0,3,6
11406826,396.8,3.0,3,7
11774602,424.8,3.6,3,7
16093490,423.2,3.0,3,6
75464978,457.7,3.6,3,6
97534177,457.7,3.6,3,6
142808152,499.3,3.2,4,8
143645569,497.7,4.4,2,6
155491127,383.6,3.9,3,4
155804660,397.63,3.8,2,4
155804676,457.6,3.9,4,7
168438844,426.7,3.3,4,5
169434901,456.2,2.9,3,8
169444677,486.7,2.9,2,8
169444912,470.2,2.4,2,9
170702514,421.3,4.4,2,5
175675604,378.8,2.9,3,6
176488429,485.7,4.5,2,6
176488430,404.8,4.2,2,6
176488434,469.7,4.9,3,6
176488435,483.7,4.9,2,6
58890625,474.1,4.1,3,5
58890666,460.1,4.2,4,5
87196495,425.7,3.5,4,5
88988018,409.3,3.8,3,5
130240607,453.7,3.9,3,5
141626321,474.1,4.6,3,5
153642997,474.1,4.5,4,5
11259899,467.7,4.4,2,5
11339988,453.7,3.8,3,5
11453462,439.7,3.5,3,5
11465758,479.8,4.6,2,5
11488179,467.7,4.2,3,5
91971729,447.24,3.1,3,7
162641762,445.24,3.1,3,7
169434697,401.64,3.8,2,4
169437991,447.7,3.6,4,6
169444556,490.7,2.9,2,8
171394831,445.2,3.1,3,7
172653213,445.24,3.1,3,7
172677311,444.2,3.1,3,7
173640837,445.3,3.1,3,7
176545035,472.7,3.4,3,8
