CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
4705,360.2,4.0,1,5
1474852,360.2,4.0,1,5
11952856,457.4,4.7,1,6
2857,388.3,4.8,1,5
1474853,373.4,4.9,1,6
5328227,374.2,4.2,0,5
5329048,461.3,4.5,2,7
5328231,439.1,4.7,1,5
5329056,475.4,4.9,1,7
5328230,360.2,4.0,1,5
5329039,487.4,5.0,1,7
5329041,430.9,4.9,1,7
5329042,410.5,4.6,1,7
5329044,426.5,4.3,2,8
5329046,493.3,5.0,1,8
5329049,396.5,4.1,2,7
5329051,479.3,4.6,2,8
5329054,475.4,4.8,2,7
5329055,430.9,4.9,1,7
5329057,475.4,4.9,1,7
5330170,424.5,3.4,1,8
5330171,424.5,3.4,1,8
5330172,424.5,3.4,1,8
2808856,378.5,3.9,1,6
9843206,387.4,4.8,1,6
10002824,430.9,4.9,1,7
10194325,402.2,3.7,1,6
10216910,446.3,3.5,1,7
10237247,372.2,4.2,1,5
10457505,472.3,3.3,1,6
11038237,486.4,3.2,1,6
11081446,488.4,3.9,1,6
11783285,358.19,3.8,1,5
21701562,378.2,4.1,1,6
44416461,430.9,4.9,1,7
44416673,430.9,4.9,1,7
70693242,462.3,3.6,1,8
118112087,440.5,4.7,2,8
118112133,426.5,4.3,2,8
118710443,459.3,3.8,1,7
118710445,459.3,3.8,1,7
118710447,445.3,3.3,2,7
118710448,445.3,3.3,2,7
118710449,384.4,2.7,2,8
118710453,398.4,3.1,2,8
118710455,463.3,3.4,2,8
118710457,459.3,3.7,2,7
122193762,494.3,4.6,3,6
127027714,447.3,3.2,3,7
127028028,461.3,3.5,3,7
138513760,376.18,3.9,1,6
138513762,394.17,4.0,1,7
138513779,394.17,4.0,1,7
138513795,455.08,4.6,1,6
138513843,315.27,3.3,1,7
138513862,376.18,3.9,1,6
138513877,394.17,4.0,1,7
138513913,423.18,3.9,1,6
25128049,483.4,4.7,1,6
56954236,463.3,4.9,1,7
118710456,479.8,3.9,2,7
127028029,475.3,3.9,3,7
1189447,360.2,4.0,1,5
11710304,327.4,4.2,1,6
141410536,434.5,4.4,1,7
141726495,419.5,3.6,1,8
141726505,431.5,4.8,1,7
141726512,431.5,4.8,1,7
141726523,446.5,4.2,1,8
1084452,358.19,3.8,1,5
10096516,476.3,3.9,1,8
10368459,494.3,4.0,1,9
25126747,487.3,4.4,1,7
25128362,458.4,4.3,1,9
25128363,436.5,4.5,1,7
57802550,473.4,4.1,1,7
57802560,495.3,4.0,1,9
57802588,473.4,4.1,1,7
57802677,473.4,4.1,1,7
57802756,493.8,4.4,1,7
57802766,493.8,4.4,1,7
57802794,477.3,3.9,1,8
57802842,473.4,4.1,1,7
57802849,495.3,4.0,1,9
57802916,495.3,4.0,1,9
135503852,364.17,3.8,2,6
11552307,327.4,4.2,1,6
11703562,341.4,4.1,1,6
44306459,404.3,3.9,1,6
52952999,326.4,4.2,1,6
54581056,326.4,4.2,1,6
56954429,463.3,4.9,1,7
70696746,391.2,4.4,1,6
155561252,454.5,2.8,3,9
155568473,497.6,2.3,4,10
9842515,374.2,4.4,1,5
11049200,486.4,3.5,0,6
58735307,369.4,3.1,1,7
141410543,420.5,4.0,1,7
141410548,420.5,4.0,1,7
141410556,434.5,4.4,1,7
141458720,448.3,3.8,1,7
141726479,432.5,3.8,1,8
141726481,417.5,4.9,1,7
141726491,417.5,4.3,1,7
141726530,417.5,4.3,1,7
166515153,452.5,4.0,1,8
1474874,366.4,3.1,1,7
162532892,488.4,3.8,1,8
44306455,448.3,3.8,1,7
44306531,309.4,4.1,1,5
44306833,487.4,4.3,1,7
45104650,362.15,4.0,1,6
47012217,343.4,3.6,1,7
49839980,374.2,4.2,0,5
49840052,392.2,4.3,0,6
52953035,326.4,4.2,1,6
72375520,294.31,2.8,1,6
74963282,387.4,3.2,1,8
145977724,319.4,4.1,1,5
164627304,456.5,3.3,0,9
171349886,471.5,4.6,1,8
171352716,471.5,4.9,1,8
58289128,414.4,4.3,1,8
66804191,426.5,3.8,1,8
138970365,412.5,3.5,1,8
44275633,475.4,4.9,1,7
25132296,487.4,4.5,1,7
45170200,426.5,3.5,1,8
4913176,490.4,4.0,1,8
9824095,432.17,4.5,1,9
9847677,473.5,2.6,2,9
9848260,486.5,2.8,2,9
9955745,457.5,3.4,2,8
10143165,493.4,4.4,2,8
10156367,376.4,4.1,1,7
10156415,377.3,3.4,1,9
10183347,465.3,3.6,2,8
10184938,491.4,4.1,2,8
10185138,495.3,2.9,3,9
10270874,376.4,4.1,1,7
10299086,473.5,4.0,2,8
10961525,459.3,3.9,1,8
