CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
24180719,413.8,3.3,2,7
53438230,456.5,3.2,2,8
49779385,457.5,2.6,2,9
49779976,403.4,3.0,2,7
58087865,455.5,4.3,2,7
90120675,489.9,5.0,2,7
24180720,442.4,2.7,2,8
102531936,413.8,3.3,2,7
102531938,428.8,2.7,2,8
49778971,445.4,3.8,2,8
49778972,463.4,3.9,2,9
49778973,445.4,3.8,2,8
49778974,465.8,4.1,2,8
49778975,474.5,3.7,2,9
49779040,483.8,4.2,2,9
49779041,465.8,4.1,2,8
49779108,463.4,3.9,2,9
49779110,483.8,4.2,2,9
49779310,448.8,2.9,2,8
49779313,448.8,2.9,2,8
49779383,490.9,4.2,2,8
49779452,488.5,4.1,2,9
49779656,474.5,3.7,2,9
49779715,471.5,3.0,2,9
49779716,470.5,3.7,2,8
49779717,471.5,2.9,3,9
49779842,498.5,4.5,2,8
49779845,499.5,3.7,2,9
49779914,472.5,2.2,3,8
49779972,483.8,4.2,2,9
49779974,447.5,2.8,2,8
49779979,482.5,3.0,2,9
53237746,490.9,5.0,2,8
53237747,414.8,3.0,2,8
58316731,437.5,3.2,3,9
58316981,471.5,3.9,3,9
59569625,483.8,4.2,2,9
60164016,467.5,3.4,2,8
60164662,428.8,2.7,2,8
60164770,470.5,3.7,2,8
60164870,452.5,3.6,2,7
68279371,495.6,4.1,2,8
68279381,456.5,3.4,2,8
68280031,410.9,2.6,2,7
90116703,438.5,3.3,2,7
90116808,486.9,4.3,2,7
90124653,452.5,2.5,2,7
58086398,307.68,2.8,2,5
44538979,490.9,4.0,2,8
58086056,489.9,5.0,2,7
58086061,469.5,4.7,2,7
58086457,473.5,4.4,2,8
58086751,456.5,3.3,2,8
58086887,456.5,3.3,2,8
58086889,473.5,4.4,2,8
58087056,471.9,4.9,2,6
58087457,471.9,4.9,2,6
58087850,379.4,2.7,2,7
66646906,489.9,5.0,2,7
70214685,475.9,4.4,2,7
132099655,453.9,4.8,2,5
135147061,470.5,3.7,3,8
135240917,487.5,4.8,2,8
135248775,461.9,4.1,2,7
135248889,443.9,4.0,2,6
146302396,457.5,2.7,2,9
146302407,486.5,3.8,2,7
146302408,473.5,4.4,2,8
146302414,471.9,4.9,2,6
146302427,469.5,4.7,2,7
146302460,486.5,3.8,2,7
146302480,491.5,4.5,2,9
164611438,469.5,4.7,2,7
164618665,471.9,4.9,2,6
171344703,377.4,4.3,2,6
44469404,380.4,2.1,2,8
44512046,362.4,2.0,2,7
44512048,366.3,1.5,2,8
44512049,394.4,2.5,2,8
44512050,420.4,3.0,2,8
44512110,390.4,2.8,2,7
57963262,394.4,2.5,2,8
57963267,388.4,2.3,2,7
57963279,408.4,2.9,2,8
57963289,380.4,2.0,2,8
57963292,376.4,2.4,2,7
57963312,406.4,2.4,2,8
57963313,376.4,2.4,2,7
57963319,402.4,2.9,2,7
58316818,485.5,3.9,3,9
58316855,472.5,3.2,3,10
146277606,445.9,4.6,2,6
146281471,463.9,4.7,2,7
11339236,423.5,3.7,2,6
16048951,465.8,4.1,2,8
44512107,362.4,1.9,2,7
46913049,404.4,2.4,2,8
46913050,386.4,2.3,2,7
49779975,488.6,3.7,2,8
53237286,447.4,3.6,2,10
53237287,484.8,3.9,2,10
53237505,466.8,3.8,2,9
53262489,456.5,3.3,2,8
53262598,482.5,2.7,2,10
53262646,486.5,2.9,3,10
57345817,440.5,3.6,2,8
57595560,423.5,3.7,2,6
57595588,333.3,1.7,2,6
57595729,409.4,3.3,2,6
57595761,427.4,3.4,2,7
57963244,408.4,2.9,2,8
57963294,434.5,3.4,2,8
57963306,348.4,1.4,2,7
58065926,442.4,3.2,3,8
58086035,472.9,3.7,2,8
58086059,444.9,2.9,2,7
58086069,437.5,4.2,2,6
58086161,426.8,4.0,3,5
58086167,456.5,3.4,2,8
58086196,429.9,3.9,2,6
58086215,454.9,3.2,2,8
58086216,455.5,4.5,2,7
58086225,409.9,3.6,2,6
58086258,420.8,3.9,2,5
58086265,474.7,3.9,2,6
58086266,397.4,2.8,2,8
58086337,419.4,4.1,2,7
58086353,458.8,4.7,3,6
58086364,498.5,4.5,2,8
58086374,351.3,1.8,2,7
58086380,498.5,4.5,2,8
58086406,465.8,4.1,2,8
58086413,483.8,4.2,2,9
58086446,472.9,3.8,2,7
58086478,461.9,4.4,2,7
58086479,393.4,3.1,2,7
58086488,479.9,4.5,2,8
58086509,413.4,3.4,2,7
58086516,483.8,4.2,2,9
58086551,427.4,3.7,2,7
58086571,470.5,4.3,3,8
58086609,427.4,3.7,2,7
58086648,447.8,4.0,2,7
58086676,430.3,3.9,2,6
58086682,450.5,2.4,3,8
58086721,461.9,4.4,2,7
58086767,395.8,3.2,2,6
58086924,438.5,3.2,2,7
58086960,421.5,3.8,2,7
58086980,498.5,3.2,3,8
58087014,447.8,4.0,2,7
58087049,427.9,3.7,2,7
58087078,472.9,3.7,2,8
58087093,465.8,4.1,2,8
58087156,498.5,3.2,3,8
58087168,447.8,4.0,2,7
58087174,379.4,3.4,2,7
58087265,470.5,2.3,3,8
58087273,447.8,4.0,2,7
58087323,437.5,4.2,2,6
58087352,425.8,4.9,2,6
58087373,490.9,4.0,2,8
58087382,414.8,2.4,2,8
58087387,428.8,2.5,1,8
58087396,431.4,3.5,2,8
58087412,395.8,3.2,2,6
58087437,476.8,4.8,3,7
58087461,461.9,4.4,2,7
58087472,472.9,3.7,2,8
58087501,479.9,4.5,2,8
58087514,406.8,3.7,3,5
58087522,471.9,4.9,2,6
58087539,427.4,3.7,2,7
58087543,409.4,3.3,2,6
58087565,477.4,4.2,2,9
58087574,431.4,3.5,2,8
58087579,428.4,2.4,2,8
58087619,464.3,4.5,2,6
58087624,427.4,3.4,2,7
58087700,469.5,3.0,2,8
58087704,379.4,2.7,2,7
58087740,482.3,4.6,2,7
58087773,475.9,4.8,2,7
58087809,452.5,2.2,3,7
58087847,361.4,2.6,2,6
58087877,459.4,4.1,2,8
58087893,445.4,3.8,2,8
58087938,475.9,2.3,4,9
58230717,455.5,4.5,2,7
58230724,441.5,4.2,2,7
58230727,441.5,4.2,2,7
58230733,435.8,3.7,2,7
58251942,393.4,2.7,2,7
58251943,459.5,3.8,2,7
58251947,449.5,4.3,2,7
58251952,393.4,2.7,2,7
58251961,478.5,2.4,2,9
58251967,375.4,2.6,2,6
58251969,455.5,3.8,2,7
58251972,419.4,3.4,2,7
58251976,475.5,3.3,2,8
58251986,423.9,3.6,2,6
58251988,425.4,2.8,2,8
58251990,375.4,2.6,2,6
58251991,409.9,3.2,2,6
58251992,421.5,3.4,2,7
58252001,447.5,4.0,2,7
58252002,411.4,2.8,2,8
58252005,427.9,3.3,2,7
58252006,433.5,3.6,2,7
58252007,407.4,3.0,2,7
58252008,469.5,4.3,2,7
58252017,441.9,3.7,2,7
58252023,461.5,4.6,2,7
